@relation Tracking

@attribute Label numeric
@attribute Area numeric
@attribute Mean numeric
@attribute StdDev numeric
@attribute Mode numeric
@attribute Min numeric
@attribute Max numeric
@attribute X numeric
@attribute Y numeric
@attribute XM numeric
@attribute YM numeric
@attribute Perim. numeric
@attribute BX numeric
@attribute BY numeric
@attribute Width numeric
@attribute Height numeric
@attribute Major numeric
@attribute Minor numeric
@attribute Angle numeric
@attribute Circ. numeric
@attribute Feret numeric
@attribute IntDen numeric
@attribute RawIntDen numeric
@attribute FeretX numeric
@attribute FeretY numeric
@attribute FeretAngle numeric
@attribute MinFeret numeric
@attribute AR numeric
@attribute Round numeric
@attribute Solidity numeric
@attribute class {0,1}

@data
1,3542,255,0,255,255,255,72.926,414.073,72.926,414.073,269.907,36,448,86,74,74.663,60.402,12.884,0.611,86.701,903210,903210,36,93,172.711,65.712,1.236,0.809,0.859,0
1,1983,255,0,255,255,255,173.635,448.821,173.635,448.821,201.622,136,477,69,56,76.633,32.947,144.65,0.613,77.175,505665,505665,139,46,148.782,40.799,2.326,0.43,0.86,0
1,3611,255,0,255,255,255,267.703,350.026,267.703,350.026,261.522,234,387,67,81,77.042,59.678,87.743,0.663,82.71,920805,920805,260,213,75.292,64.029,1.291,0.775,0.895,0
1,3507,255,0,255,255,255,377.618,147.784,377.618,147.784,240.693,339,183,74,67,74.028,60.318,31.932,0.761,80.43,894285,894285,344,395,38.437,63.513,1.227,0.815,0.929,0
1,3327,255,0,255,255,255,247.104,91.165,247.104,91.165,306.09,212,138,74,99,102.209,41.445,119.096,0.446,113.877,848385,848385,227,382,120.619,52.008,2.466,0.405,0.763,0
1,11189,255,0,255,255,255,530.924,179.084,530.924,179.084,449.63,461,244,131,143,154.234,92.368,126.299,0.695,153.938,2853195,2853195,462,295,146.929,98.422,1.67,0.599,0.929,0
2,3936,255,0,255,255,255,71.23,414.707,71.23,414.707,287.321,32,449,91,76,77.982,64.265,11.977,0.599,91.924,1003680,1003680,32,91,171.87,70.506,1.213,0.824,0.844,0
2,1322,255,0,255,255,255,187.254,440.177,187.254,440.177,138.711,167,460,42,41,43.639,38.571,45.958,0.863,46.872,337110,337110,175,99,56.31,40.503,1.131,0.884,0.946,0
2,3494,255,0,255,255,255,267.817,352.298,267.817,352.298,254.593,234,388,66,76,72.763,61.139,83.71,0.677,80.777,890970,890970,252,207,68.199,64.285,1.19,0.84,0.901,0
2,3463,255,0,255,255,255,375.674,152.272,375.674,152.272,247.078,337,189,74,72,78.469,56.191,40.43,0.713,83.487,883065,883065,342,398,43.059,59.547,1.396,0.716,0.917,0
